physical_parcel,previous_codes,proposed_codes,previous_revision,proposed_revision,action,confidence,status,evidence,previous_areas_sqm,proposed_areas_sqm,previous_geometry_versions,previous_geometry_hashes,proposed_geometry_hashes,proposed_geometry_version,production_entity_ids,production_lot_ids,required_approval
R oeste parcela 01,"[""Q-R-01""]","[""Q-R-01""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,parcela_preservada_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-01"": 896.85}","{""Q-R-01"": ""896.85""}","{""Q-R-01"": 5}","{""Q-R-01"": ""bf0e69d81b8c8d5bcf93f013f7386303c52ae0868936cb91ceb5ac9f7a0ecfd1""}","{""Q-R-01"": ""60bea6d31b03890b51a59a4b5856db832faa976390a11cd41ae85df18f06fbf7""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R oeste parcela 02,"[""Q-R-02""]","[""Q-R-02""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,parcela_preservada_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-02"": 896.85}","{""Q-R-02"": ""896.85""}","{""Q-R-02"": 5}","{""Q-R-02"": ""247fd37debd9082f461aa3f284ab16a710426f691aadd000bc8ab55235c94783""}","{""Q-R-02"": ""3b5d47e9a3ad0aa22f8421979e8a93b51857f96602ff8bd33de48326cb430b8b""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R oeste parcela 05,"[""Q-R-05""]","[""Q-R-05""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,parcela_preservada_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-05"": 450}","{""Q-R-05"": ""450.00""}","{""Q-R-05"": 5}","{""Q-R-05"": ""c14ef40e07b8f5182775d0466c58619e076c0de282a0aba61392835f39430a56""}","{""Q-R-05"": ""0c9dd4c98f31c9d4f352c68718a3459903d3547283c18c029d713a1193f19999""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R oeste parcela 06,"[""Q-R-06""]","[""Q-R-06""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,parcela_preservada_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-06"": 450}","{""Q-R-06"": ""450.00""}","{""Q-R-06"": 5}","{""Q-R-06"": ""6b344a1a687e5b61df3ca561e69979dd3450417ba510fd11dc4c73006b07a292""}","{""Q-R-06"": ""5af75aec7865d6e5ace43902c9cd7f664d26522ba53e26fe4cf224ff329af1d0""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R oeste parcela 07,"[""Q-R-07""]","[""Q-R-07""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,parcela_preservada_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-07"": 450}","{""Q-R-07"": ""450.00""}","{""Q-R-07"": 5}","{""Q-R-07"": ""f1f924f2f7c1c40426bf70a3fae3107567f349a97cc9502849bf20edde1038c0""}","{""Q-R-07"": ""005203ed638d6be24562103e6c8ff7b2e92a032aca1a8bf7b9fbdba906c8900d""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R oeste parcela 08,"[""Q-R-08""]","[""Q-R-08""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,parcela_preservada_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-08"": 450}","{""Q-R-08"": ""450.00""}","{""Q-R-08"": 5}","{""Q-R-08"": ""2a9a7faf7cde6b14c5591ac9dc73fc03bf0758cf3808618e3f40e6d881d4b383""}","{""Q-R-08"": ""3b7c075bbc1d815d5567b26b91ae508ce704d77785328b86f9e832b95003a07f""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R oeste parcela 13,"[""Q-R-13""]","[""Q-R-13""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,parcela_preservada_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-13"": 575.85}","{""Q-R-13"": ""575.85""}","{""Q-R-13"": 5}","{""Q-R-13"": ""ffdfae0d8b5b326405a61545691373b171fbf756c79f5dbd61571823f0829ead""}","{""Q-R-13"": ""437b068a9577d196223d365bca0a494122bd777c3ae24dfee5f3b65a76934c89""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R oeste parcela 14,"[""Q-R-14""]","[""Q-R-14""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,parcela_preservada_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-14"": 896.85}","{""Q-R-14"": ""896.85""}","{""Q-R-14"": 5}","{""Q-R-14"": ""4b11a5650be91242d499825c567913707ee56e4934e5752cd2a5d423240f7bad""}","{""Q-R-14"": ""0c66b4f1a15b90cd61e77abb3a36a2f44ca02bb7c2ae9285dcc0a20d603092bb""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R oeste parcela 15,"[""Q-R-15""]","[""Q-R-15""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,parcela_preservada_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-15"": 472.1}","{""Q-R-15"": ""472.10""}","{""Q-R-15"": 5}","{""Q-R-15"": ""84435e32bbbd663bbe8c827d3eb0e605c6528de173f8b3bf4901a03ea85d3c1d""}","{""Q-R-15"": ""b64bd51e91eb93105875a49ba4aa05924d35e4e8e2ec01d67db09ee3c8ab8ec7""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
R oeste parcela 16,"[""Q-R-16""]","[""Q-R-16""]",2026.4-exporural.1,2028-exporural-2026-09-25.1,parcela_preservada_candidata,medium,PENDING_APPROVAL,Repository geometry + registered numbering/dimensions rasters; no live UUID or legal identity verified,"{""Q-R-16"": 450}","{""Q-R-16"": ""450.00""}","{""Q-R-16"": 5}","{""Q-R-16"": ""7dd7d445f2cef7b1e3feabe9f750b09f3229e9aabfae4a457b71491cc76e030e""}","{""Q-R-16"": ""3527ca7bbf6202bd7c2dfc62831b0fcaad81b188269f95afdbda1d425d2b9646""}",6,,,"Resolve UUIDs and physical continuity; inspect reservations, negotiations, sales, contracts and price history; approve all parent/child allocations explicitly"
